raw descriptor,level_3,level_2,level_1
abras,abrasive,high_tannin,tannin
acacia,acacia,flowery,flower
acacia_flower,acacia,flowery,flower
aciddriven,acid_driven,high_acid,acid
aggress,aggressive,high_acid,acid
airi,airy,light_bodied,body
allspic,allspice,baking_spices,spice
almond,almond,nutty,nutty
almond_past,almond,nutty,nutty
marzipan,almond,nutty,nutty
almond_skin,almond,nutty,nutty
alpin_herb,alpine_herbs,fresh_herbs,vegetal
american_oak,american_oak,resinous,woody
angular,angular,high_tannin,tannin
anis,anise,baking_spices,spice
anisett,anise,baking_spices,spice
appl,apple,tree_fruit,fruit
appl_cider,apple,tree_fruit,fruit
appl_flesh,apple,tree_fruit,fruit
appl_skin,apple,tree_fruit,fruit
appli,apple,tree_fruit,fruit
golden_appl,apple,tree_fruit,fruit
golden_delici,apple,tree_fruit,fruit
gravenstein_appl,apple,tree_fruit,fruit
green_appl,apple,tree_fruit,fruit
greenappl,apple,tree_fruit,fruit
press_appl,apple,tree_fruit,fruit
yellow_appl,apple,tree_fruit,fruit
appl_blossom,apple_blossom,flowery,flower
appl_pie,apple_pie,biscuit,caramel
applesauc,apple_sauce,tree_fruit,fruit
apricot,apricot,stone_fruit,fruit
ash,ash,toasted,woody
asian_spice,asian_spice,baking_spices,spice
asparagus,asparagus,vegetable,vegetal
asphalt,asphalt,petroleum,earth_inorganic
assert,assertive,high_acid,acid
astring,astringent,high_tannin,tannin
auster,austere,high_tannin,tannin
bacon,bacon,bacon,brettanomyces
bacon_fat,bacon,bacon,brettanomyces
bake,baked,high_alcohol,alcohol
bake_appl,baked_apple,tree_fruit,fruit
bake_bread,baked_bread,yeasty,microbial
bake_spice,baking_spices,baking_spices,spice
bakingspic,baking_spices,baking_spices,spice
cinnamon_nutmeg,baking_spices,baking_spices,spice
dust_cinnamon,baking_spices,baking_spices,spice
balsam,balsamic,volatile_acidity,acid
balsam_note,balsamic,volatile_acidity,acid
banana,banana,tropical_fruit,fruit
bandaid,band-aid,medicinal,brettanomyces
barbecu,barbecue,meat,sulfides
bark,bark,resinous,woody
barnyard,barnyard,barnyard,brettanomyces
basil,basil,fresh_herbs,vegetal
bay_leaf,bay_leaf,fresh_herbs,vegetal
beef_char,beef,meat,sulfides
beef_jerki,beef_jerky,meat,sulfides
beefi,beefy,high_tannin,tannin
beeswax,beeswax,honey,caramel
beet,beet,vegetable,vegetal
beetroot,beetroot,vegetable,vegetal
bell_pepper,bell_pepper,vegetable,vegetal
bergamot,bergamot,citrus_fruit,fruit
berri,berry,red_fruit,fruit
bigbon,big-boned,high_tannin,tannin
bite,bite,high_acid,acid
bitter,bitter,high_tannin,tannin
bitter_almond,bitter_almond,nutty,nutty
bittersweet,bittersweet,high_tannin,tannin
black_cherri,black_cherry,red_fruit,fruit
blackcherri,black_cherry,red_fruit,fruit
black_currant,black_currant,dark_fruit,fruit
blackfruit,black_fruit,dark_fruit,fruit
blackskin_fruit,black_fruit,dark_fruit,fruit
black_pepper,black_pepper,pepper,spice
black_peppercorn,black_pepper,pepper,spice
blackpepp,black_pepper,pepper,spice
black_tea,black_tea,dried_herbs,vegetal
blackberri,blackberry,dark_fruit,fruit
blackskin_berri,blackberry,dark_fruit,fruit
blackberri_jam,blackberry_jam,dark_fruit,fruit
blackberri_cassi,blackberry-cassis,dark_fruit,fruit
blackcurr,blackcurrant,dark_fruit,fruit
bland,bland,low_concentration,concentration
blood_orang,blood_orange,citrus_fruit,fruit
blossomi,blossom,flowery,flower
blue,blue,color,visual
blue_black,blue_black,color,visual
blue_flower,blue_flower,flowery,flower
bluefruit,blue_fruit,dark_fruit,fruit
blueberri,blueberry,dark_fruit,fruit
blueberri_pie,blueberry_pie,biscuit,caramel
big_bold,bold,full_bodied,body
bone_dri,bone_dry,dry,sweetness
bonedri,bone_dry,dry,sweetness
botryti,botrytis,honey,caramel
boysenberri,boysenberry,red_fruit,fruit
brambl,bramble,dark_fruit,fruit
brambl_berri,bramble,dark_fruit,fruit
brawni,brawny,high_tannin,tannin
bread,bread,yeasty,microbial
bread_crust,bread_crust,yeasty,microbial
brick,brick,color,visual
bright,bright,high_acid,acid
brighter,bright,high_acid,acid
brilliant,brilliant,color_intensity,visual
brine,brine,salinity,salinity
brini,brine,salinity,salinity
brioch,brioche,yeasty,microbial
brisk,brisk,high_acid,acid
brown,brown,color,visual
brown_butter,brown_butter,caramel,caramel
brown_spice,brown_spice,baking_spices,spice
